"row_value","enhanced_speed","hrm_step_length","hrm_vertical_oscillation","stryd_stance_time","stryd_leg_spring_stiffness","analysis"
"p025",0.923864177422214,0.908960075023949,0.671297182154442,0.909649269629334,0.578036395078263,"a_one"
"mean",0.952285471285934,0.9352894391289,0.744851575938634,0.938698149022521,0.656983729304726,"a_one"
"p975",0.975007200199501,0.958795479849246,0.81294185966026,0.963278025857064,0.733695338256521,"a_one"
"p025",0.925322154367406,0.908566412086193,0.676508736187796,0.91191851174051,0.580069667438997,"a_one_flat"
"mean",0.954629435366567,0.936888588711507,0.751113813061061,0.942479977099144,0.659899353770765,"a_one_flat"
"p975",0.977437964697607,0.960689940902551,0.818945907842967,0.966986262083618,0.735596686779184,"a_one_flat"
"p025",0.968689699449565,0.931305949379289,0.856654766230579,0.955363824823169,0.838419732480906,"a_two"
"mean",0.982514745845938,0.965709119483187,0.923976803339515,0.972537779730321,0.912519445037823,"a_two"
"p975",0.993334323880073,0.989128042259541,0.974455671717984,0.986795634179942,0.971971617895166,"a_two"
"p025",0.971073515576968,0.932255377568638,0.858966380460356,0.959625124532918,0.839189363667681,"a_two_flat"
"mean",0.984001124011278,0.966745804697171,0.924068115642347,0.975444157910468,0.913450203600379,"a_two_flat"
"p975",0.994328357358317,0.989551718368543,0.975068200324526,0.988660397976087,0.973555181373827,"a_two_flat"
"p025",0.884610464421998,0.846275422850723,0.990473072923354,0.959156078760981,0.7480804717406,"a_three"
"mean",0.958871506591515,0.946670120580896,0.994270147870492,0.979596814300699,0.883593556127705,"a_three"
"p975",0.998128102692342,0.997939660784886,0.997372018924092,0.992798380724159,0.995189674540654,"a_three"
"p025",0.888262474387964,0.845119680949935,0.992957867155758,0.965434130853789,0.758804267022244,"a_three_flat"
"mean",0.960432148190168,0.946969532083912,0.996144379884112,0.983225934088882,0.890060792212054,"a_three_flat"
"p975",0.999028916824151,0.999277775807597,0.998725314407557,0.994921892679254,0.99564597204324,"a_three_flat"
"p025",0.822411478305931,0.834431415542341,0.994001178474988,0.765090368519256,0.863628669080403,"a_four"
"mean",0.930428973224115,0.940455806764788,0.996379822827193,0.887374430286768,0.950091805174498,"a_four"
"p975",0.989778644101792,0.995110059071439,0.998271190972111,0.976072780357429,0.998500216048357,"a_four"
"p025",0.822418183176857,0.835616710313422,0.995114420733096,0.752783795228987,0.90302690599635,"a_four_flat"
"mean",0.931393160197516,0.942094056781373,0.997405201895441,0.887083225312122,0.966081759002025,"a_four_flat"
"p975",0.99197142931141,0.997025097021086,0.999137953309745,0.982925836530887,0.999086520627601,"a_four_flat"
